"id","ghId","ghTitle","topic","conceptIndex","concept","learningModeProfile","representation","contentProfileId","contentProfileLabel","conceptClusterId","systemUse"
"gh-01-c02-7e280112-intuition_simulation","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","2","坐标点与函数图像","experiment","manipulative","intuition_simulation","直觉操作实验","gh-01-c02-7e280112","适合需要补充直觉操作证据、提升低交互参与或验证变量关系时调用"
"gh-01-c02-7e280112-relationship_diagram","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","2","坐标点与函数图像","lecture","relational","relationship_diagram","关系图谱","gh-01-c02-7e280112","适合需要补充概念关系、表示转换或前后连接证据时调用"
"gh-01-c02-7e280112-symbolic_bridge","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","2","坐标点与函数图像","lecture","symbolic","symbolic_bridge","符号桥接","gh-01-c02-7e280112","适合需要补充符号含义、公式语言或简答表达证据时调用"
"gh-01-c02-7e280112-misconception_contrast","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","2","坐标点与函数图像","game","relational","misconception_contrast","误解对比","gh-01-c02-7e280112","适合需要暴露并对比典型误解、收集纠错解释证据时调用"
"gh-01-c02-7e280112-error_repair_challenge","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","2","坐标点与函数图像","game","applied","error_repair_challenge","纠错挑战","gh-01-c02-7e280112","适合需要通过可重试挑战收集纠错过程证据时调用"
"gh-01-c02-7e280112-micro_practice","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","2","坐标点与函数图像","practice","assessment","micro_practice","微练习确认","gh-01-c02-7e280112","适合需要快速确认掌握、继续学习前补充检查证据时调用"
"gh-01-c02-7e280112-transfer_context","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","2","坐标点与函数图像","practice","applied","transfer_context","迁移应用","gh-01-c02-7e280112","适合需要收集近迁移应用证据时调用"
"gh-01-c02-7e280112-challenge_experiment","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","2","坐标点与函数图像","experiment","visual","challenge_experiment","挑战实验","gh-01-c02-7e280112","适合需要收集更高挑战度的操作、比较或边界情况证据时调用"
"gh-01-c02-7e280112-spatial_or_2d_view","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","2","坐标点与函数图像","experiment","visual","spatial_or_2d_view","空间/二维视角","gh-01-c02-7e280112","适合需要补充空间视角、二维兜底或可视化理解证据时调用"
"gh-01-c02-7e280112-teach_back_card","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","2","坐标点与函数图像","practice","verbal","teach_back_card","讲给同伴听","gh-01-c02-7e280112","适合需要收集口头化解释、同伴讲解或反例说明证据时调用"
"gh-01-c03-06861b2a-intuition_simulation","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","3","图像的上升、下降与变化方向","experiment","manipulative","intuition_simulation","直觉操作实验","gh-01-c03-06861b2a","适合需要补充直觉操作证据、提升低交互参与或验证变量关系时调用"
"gh-01-c03-06861b2a-relationship_diagram","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","3","图像的上升、下降与变化方向","lecture","relational","relationship_diagram","关系图谱","gh-01-c03-06861b2a","适合需要补充概念关系、表示转换或前后连接证据时调用"
"gh-01-c03-06861b2a-symbolic_bridge","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","3","图像的上升、下降与变化方向","lecture","symbolic","symbolic_bridge","符号桥接","gh-01-c03-06861b2a","适合需要补充符号含义、公式语言或简答表达证据时调用"
"gh-01-c03-06861b2a-misconception_contrast","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","3","图像的上升、下降与变化方向","game","relational","misconception_contrast","误解对比","gh-01-c03-06861b2a","适合需要暴露并对比典型误解、收集纠错解释证据时调用"
"gh-01-c03-06861b2a-error_repair_challenge","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","3","图像的上升、下降与变化方向","game","applied","error_repair_challenge","纠错挑战","gh-01-c03-06861b2a","适合需要通过可重试挑战收集纠错过程证据时调用"
"gh-01-c03-06861b2a-micro_practice","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","3","图像的上升、下降与变化方向","practice","assessment","micro_practice","微练习确认","gh-01-c03-06861b2a","适合需要快速确认掌握、继续学习前补充检查证据时调用"
"gh-01-c03-06861b2a-transfer_context","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","3","图像的上升、下降与变化方向","practice","applied","transfer_context","迁移应用","gh-01-c03-06861b2a","适合需要收集近迁移应用证据时调用"
"gh-01-c03-06861b2a-challenge_experiment","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","3","图像的上升、下降与变化方向","experiment","visual","challenge_experiment","挑战实验","gh-01-c03-06861b2a","适合需要收集更高挑战度的操作、比较或边界情况证据时调用"
"gh-01-c03-06861b2a-spatial_or_2d_view","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","3","图像的上升、下降与变化方向","experiment","visual","spatial_or_2d_view","空间/二维视角","gh-01-c03-06861b2a","适合需要补充空间视角、二维兜底或可视化理解证据时调用"
"gh-01-c03-06861b2a-teach_back_card","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","3","图像的上升、下降与变化方向","practice","verbal","teach_back_card","讲给同伴听","gh-01-c03-06861b2a","适合需要收集口头化解释、同伴讲解或反例说明证据时调用"
"gh-02-c01-17ac1cd7-intuition_simulation","GH-02","极限与连续直觉","极限与连续直觉","1","从数表观察趋近","experiment","manipulative","intuition_simulation","直觉操作实验","gh-02-c01-17ac1cd7","适合需要补充直觉操作证据、提升低交互参与或验证变量关系时调用"
"gh-02-c01-17ac1cd7-relationship_diagram","GH-02","极限与连续直觉","极限与连续直觉","1","从数表观察趋近","lecture","relational","relationship_diagram","关系图谱","gh-02-c01-17ac1cd7","适合需要补充概念关系、表示转换或前后连接证据时调用"
"gh-02-c01-17ac1cd7-symbolic_bridge","GH-02","极限与连续直觉","极限与连续直觉","1","从数表观察趋近","lecture","symbolic","symbolic_bridge","符号桥接","gh-02-c01-17ac1cd7","适合需要补充符号含义、公式语言或简答表达证据时调用"
"gh-02-c01-17ac1cd7-misconception_contrast","GH-02","极限与连续直觉","极限与连续直觉","1","从数表观察趋近","game","relational","misconception_contrast","误解对比","gh-02-c01-17ac1cd7","适合需要暴露并对比典型误解、收集纠错解释证据时调用"
"gh-02-c01-17ac1cd7-error_repair_challenge","GH-02","极限与连续直觉","极限与连续直觉","1","从数表观察趋近","game","applied","error_repair_challenge","纠错挑战","gh-02-c01-17ac1cd7","适合需要通过可重试挑战收集纠错过程证据时调用"
"gh-02-c01-17ac1cd7-micro_practice","GH-02","极限与连续直觉","极限与连续直觉","1","从数表观察趋近","practice","assessment","micro_practice","微练习确认","gh-02-c01-17ac1cd7","适合需要快速确认掌握、继续学习前补充检查证据时调用"
"gh-02-c01-17ac1cd7-transfer_context","GH-02","极限与连续直觉","极限与连续直觉","1","从数表观察趋近","practice","applied","transfer_context","迁移应用","gh-02-c01-17ac1cd7","适合需要收集近迁移应用证据时调用"
"gh-02-c01-17ac1cd7-challenge_experiment","GH-02","极限与连续直觉","极限与连续直觉","1","从数表观察趋近","experiment","visual","challenge_experiment","挑战实验","gh-02-c01-17ac1cd7","适合需要收集更高挑战度的操作、比较或边界情况证据时调用"
"gh-02-c01-17ac1cd7-spatial_or_2d_view","GH-02","极限与连续直觉","极限与连续直觉","1","从数表观察趋近","experiment","visual","spatial_or_2d_view","空间/二维视角","gh-02-c01-17ac1cd7","适合需要补充空间视角、二维兜底或可视化理解证据时调用"
"gh-02-c01-17ac1cd7-teach_back_card","GH-02","极限与连续直觉","极限与连续直觉","1","从数表观察趋近","practice","verbal","teach_back_card","讲给同伴听","gh-02-c01-17ac1cd7","适合需要收集口头化解释、同伴讲解或反例说明证据时调用"
"gh-02-c02-74f5f25c-intuition_simulation","GH-02","极限与连续直觉","极限与连续直觉","2","图像上的左右极限","experiment","manipulative","intuition_simulation","直觉操作实验","gh-02-c02-74f5f25c","适合需要补充直觉操作证据、提升低交互参与或验证变量关系时调用"
"gh-02-c02-74f5f25c-relationship_diagram","GH-02","极限与连续直觉","极限与连续直觉","2","图像上的左右极限","lecture","relational","relationship_diagram","关系图谱","gh-02-c02-74f5f25c","适合需要补充概念关系、表示转换或前后连接证据时调用"
"gh-02-c02-74f5f25c-symbolic_bridge","GH-02","极限与连续直觉","极限与连续直觉","2","图像上的左右极限","lecture","symbolic","symbolic_bridge","符号桥接","gh-02-c02-74f5f25c","适合需要补充符号含义、公式语言或简答表达证据时调用"
"gh-02-c02-74f5f25c-misconception_contrast","GH-02","极限与连续直觉","极限与连续直觉","2","图像上的左右极限","game","relational","misconception_contrast","误解对比","gh-02-c02-74f5f25c","适合需要暴露并对比典型误解、收集纠错解释证据时调用"
"gh-02-c02-74f5f25c-error_repair_challenge","GH-02","极限与连续直觉","极限与连续直觉","2","图像上的左右极限","game","applied","error_repair_challenge","纠错挑战","gh-02-c02-74f5f25c","适合需要通过可重试挑战收集纠错过程证据时调用"
"gh-02-c02-74f5f25c-micro_practice","GH-02","极限与连续直觉","极限与连续直觉","2","图像上的左右极限","practice","assessment","micro_practice","微练习确认","gh-02-c02-74f5f25c","适合需要快速确认掌握、继续学习前补充检查证据时调用"
"gh-02-c02-74f5f25c-transfer_context","GH-02","极限与连续直觉","极限与连续直觉","2","图像上的左右极限","practice","applied","transfer_context","迁移应用","gh-02-c02-74f5f25c","适合需要收集近迁移应用证据时调用"
"gh-02-c02-74f5f25c-challenge_experiment","GH-02","极限与连续直觉","极限与连续直觉","2","图像上的左右极限","experiment","visual","challenge_experiment","挑战实验","gh-02-c02-74f5f25c","适合需要收集更高挑战度的操作、比较或边界情况证据时调用"
"gh-02-c02-74f5f25c-spatial_or_2d_view","GH-02","极限与连续直觉","极限与连续直觉","2","图像上的左右极限","experiment","visual","spatial_or_2d_view","空间/二维视角","gh-02-c02-74f5f25c","适合需要补充空间视角、二维兜底或可视化理解证据时调用"
"gh-02-c02-74f5f25c-teach_back_card","GH-02","极限与连续直觉","极限与连续直觉","2","图像上的左右极限","practice","verbal","teach_back_card","讲给同伴听","gh-02-c02-74f5f25c","适合需要收集口头化解释、同伴讲解或反例说明证据时调用"
"gh-02-c03-c289e20d-intuition_simulation","GH-02","极限与连续直觉","极限与连续直觉","3","连续就是不跳断","experiment","manipulative","intuition_simulation","直觉操作实验","gh-02-c03-c289e20d","适合需要补充直觉操作证据、提升低交互参与或验证变量关系时调用"
"gh-02-c03-c289e20d-relationship_diagram","GH-02","极限与连续直觉","极限与连续直觉","3","连续就是不跳断","lecture","relational","relationship_diagram","关系图谱","gh-02-c03-c289e20d","适合需要补充概念关系、表示转换或前后连接证据时调用"
"gh-02-c03-c289e20d-symbolic_bridge","GH-02","极限与连续直觉","极限与连续直觉","3","连续就是不跳断","lecture","symbolic","symbolic_bridge","符号桥接","gh-02-c03-c289e20d","适合需要补充符号含义、公式语言或简答表达证据时调用"
"gh-02-c03-c289e20d-misconception_contrast","GH-02","极限与连续直觉","极限与连续直觉","3","连续就是不跳断","game","relational","misconception_contrast","误解对比","gh-02-c03-c289e20d","适合需要暴露并对比典型误解、收集纠错解释证据时调用"
"gh-02-c03-c289e20d-error_repair_challenge","GH-02","极限与连续直觉","极限与连续直觉","3","连续就是不跳断","game","applied","error_repair_challenge","纠错挑战","gh-02-c03-c289e20d","适合需要通过可重试挑战收集纠错过程证据时调用"
"gh-02-c03-c289e20d-micro_practice","GH-02","极限与连续直觉","极限与连续直觉","3","连续就是不跳断","practice","assessment","micro_practice","微练习确认","gh-02-c03-c289e20d","适合需要快速确认掌握、继续学习前补充检查证据时调用"
"gh-02-c03-c289e20d-transfer_context","GH-02","极限与连续直觉","极限与连续直觉","3","连续就是不跳断","practice","applied","transfer_context","迁移应用","gh-02-c03-c289e20d","适合需要收集近迁移应用证据时调用"
"gh-02-c03-c289e20d-challenge_experiment","GH-02","极限与连续直觉","极限与连续直觉","3","连续就是不跳断","experiment","visual","challenge_experiment","挑战实验","gh-02-c03-c289e20d","适合需要收集更高挑战度的操作、比较或边界情况证据时调用"
"gh-02-c03-c289e20d-spatial_or_2d_view","GH-02","极限与连续直觉","极限与连续直觉","3","连续就是不跳断","experiment","visual","spatial_or_2d_view","空间/二维视角","gh-02-c03-c289e20d","适合需要补充空间视角、二维兜底或可视化理解证据时调用"
"gh-02-c03-c289e20d-teach_back_card","GH-02","极限与连续直觉","极限与连续直觉","3","连续就是不跳断","practice","verbal","teach_back_card","讲给同伴听","gh-02-c03-c289e20d","适合需要收集口头化解释、同伴讲解或反例说明证据时调用"
"gh-03-c01-a7418b6e-intuition_simulation","GH-03","从平均变化率到导数","从平均变化率到导数","1","平均变化率和割线","experiment","manipulative","intuition_simulation","直觉操作实验","gh-03-c01-a7418b6e","适合需要补充直觉操作证据、提升低交互参与或验证变量关系时调用"
"gh-03-c01-a7418b6e-relationship_diagram","GH-03","从平均变化率到导数","从平均变化率到导数","1","平均变化率和割线","lecture","relational","relationship_diagram","关系图谱","gh-03-c01-a7418b6e","适合需要补充概念关系、表示转换或前后连接证据时调用"
"gh-03-c01-a7418b6e-symbolic_bridge","GH-03","从平均变化率到导数","从平均变化率到导数","1","平均变化率和割线","lecture","symbolic","symbolic_bridge","符号桥接","gh-03-c01-a7418b6e","适合需要补充符号含义、公式语言或简答表达证据时调用"
"gh-03-c01-a7418b6e-misconception_contrast","GH-03","从平均变化率到导数","从平均变化率到导数","1","平均变化率和割线","game","relational","misconception_contrast","误解对比","gh-03-c01-a7418b6e","适合需要暴露并对比典型误解、收集纠错解释证据时调用"
"gh-03-c01-a7418b6e-error_repair_challenge","GH-03","从平均变化率到导数","从平均变化率到导数","1","平均变化率和割线","game","applied","error_repair_challenge","纠错挑战","gh-03-c01-a7418b6e","适合需要通过可重试挑战收集纠错过程证据时调用"
"gh-03-c01-a7418b6e-micro_practice","GH-03","从平均变化率到导数","从平均变化率到导数","1","平均变化率和割线","practice","assessment","micro_practice","微练习确认","gh-03-c01-a7418b6e","适合需要快速确认掌握、继续学习前补充检查证据时调用"
"gh-03-c01-a7418b6e-transfer_context","GH-03","从平均变化率到导数","从平均变化率到导数","1","平均变化率和割线","practice","applied","transfer_context","迁移应用","gh-03-c01-a7418b6e","适合需要收集近迁移应用证据时调用"
"gh-03-c01-a7418b6e-challenge_experiment","GH-03","从平均变化率到导数","从平均变化率到导数","1","平均变化率和割线","experiment","visual","challenge_experiment","挑战实验","gh-03-c01-a7418b6e","适合需要收集更高挑战度的操作、比较或边界情况证据时调用"
"gh-03-c01-a7418b6e-spatial_or_2d_view","GH-03","从平均变化率到导数","从平均变化率到导数","1","平均变化率和割线","experiment","visual","spatial_or_2d_view","空间/二维视角","gh-03-c01-a7418b6e","适合需要补充空间视角、二维兜底或可视化理解证据时调用"
"gh-03-c01-a7418b6e-teach_back_card","GH-03","从平均变化率到导数","从平均变化率到导数","1","平均变化率和割线","practice","verbal","teach_back_card","讲给同伴听","gh-03-c01-a7418b6e","适合需要收集口头化解释、同伴讲解或反例说明证据时调用"
"gh-03-c02-68789a80-intuition_simulation","GH-03","从平均变化率到导数","从平均变化率到导数","2","瞬时变化率和切线","experiment","manipulative","intuition_simulation","直觉操作实验","gh-03-c02-68789a80","适合需要补充直觉操作证据、提升低交互参与或验证变量关系时调用"
"gh-03-c02-68789a80-relationship_diagram","GH-03","从平均变化率到导数","从平均变化率到导数","2","瞬时变化率和切线","lecture","relational","relationship_diagram","关系图谱","gh-03-c02-68789a80","适合需要补充概念关系、表示转换或前后连接证据时调用"
"gh-03-c02-68789a80-symbolic_bridge","GH-03","从平均变化率到导数","从平均变化率到导数","2","瞬时变化率和切线","lecture","symbolic","symbolic_bridge","符号桥接","gh-03-c02-68789a80","适合需要补充符号含义、公式语言或简答表达证据时调用"
"gh-03-c02-68789a80-misconception_contrast","GH-03","从平均变化率到导数","从平均变化率到导数","2","瞬时变化率和切线","game","relational","misconception_contrast","误解对比","gh-03-c02-68789a80","适合需要暴露并对比典型误解、收集纠错解释证据时调用"
"gh-03-c02-68789a80-error_repair_challenge","GH-03","从平均变化率到导数","从平均变化率到导数","2","瞬时变化率和切线","game","applied","error_repair_challenge","纠错挑战","gh-03-c02-68789a80","适合需要通过可重试挑战收集纠错过程证据时调用"
"gh-03-c02-68789a80-micro_practice","GH-03","从平均变化率到导数","从平均变化率到导数","2","瞬时变化率和切线","practice","assessment","micro_practice","微练习确认","gh-03-c02-68789a80","适合需要快速确认掌握、继续学习前补充检查证据时调用"
"gh-03-c02-68789a80-transfer_context","GH-03","从平均变化率到导数","从平均变化率到导数","2","瞬时变化率和切线","practice","applied","transfer_context","迁移应用","gh-03-c02-68789a80","适合需要收集近迁移应用证据时调用"
"gh-03-c02-68789a80-challenge_experiment","GH-03","从平均变化率到导数","从平均变化率到导数","2","瞬时变化率和切线","experiment","visual","challenge_experiment","挑战实验","gh-03-c02-68789a80","适合需要收集更高挑战度的操作、比较或边界情况证据时调用"
"gh-03-c02-68789a80-spatial_or_2d_view","GH-03","从平均变化率到导数","从平均变化率到导数","2","瞬时变化率和切线","experiment","visual","spatial_or_2d_view","空间/二维视角","gh-03-c02-68789a80","适合需要补充空间视角、二维兜底或可视化理解证据时调用"
"gh-03-c02-68789a80-teach_back_card","GH-03","从平均变化率到导数","从平均变化率到导数","2","瞬时变化率和切线","practice","verbal","teach_back_card","讲给同伴听","gh-03-c02-68789a80","适合需要收集口头化解释、同伴讲解或反例说明证据时调用"
"gh-03-c03-d831dd16-intuition_simulation","GH-03","从平均变化率到导数","从平均变化率到导数","3","导数符号和意义","experiment","manipulative","intuition_simulation","直觉操作实验","gh-03-c03-d831dd16","适合需要补充直觉操作证据、提升低交互参与或验证变量关系时调用"
"gh-03-c03-d831dd16-relationship_diagram","GH-03","从平均变化率到导数","从平均变化率到导数","3","导数符号和意义","lecture","relational","relationship_diagram","关系图谱","gh-03-c03-d831dd16","适合需要补充概念关系、表示转换或前后连接证据时调用"
"gh-03-c03-d831dd16-symbolic_bridge","GH-03","从平均变化率到导数","从平均变化率到导数","3","导数符号和意义","lecture","symbolic","symbolic_bridge","符号桥接","gh-03-c03-d831dd16","适合需要补充符号含义、公式语言或简答表达证据时调用"
"gh-03-c03-d831dd16-misconception_contrast","GH-03","从平均变化率到导数","从平均变化率到导数","3","导数符号和意义","game","relational","misconception_contrast","误解对比","gh-03-c03-d831dd16","适合需要暴露并对比典型误解、收集纠错解释证据时调用"
"gh-03-c03-d831dd16-error_repair_challenge","GH-03","从平均变化率到导数","从平均变化率到导数","3","导数符号和意义","game","applied","error_repair_challenge","纠错挑战","gh-03-c03-d831dd16","适合需要通过可重试挑战收集纠错过程证据时调用"
"gh-03-c03-d831dd16-micro_practice","GH-03","从平均变化率到导数","从平均变化率到导数","3","导数符号和意义","practice","assessment","micro_practice","微练习确认","gh-03-c03-d831dd16","适合需要快速确认掌握、继续学习前补充检查证据时调用"
"gh-03-c03-d831dd16-transfer_context","GH-03","从平均变化率到导数","从平均变化率到导数","3","导数符号和意义","practice","applied","transfer_context","迁移应用","gh-03-c03-d831dd16","适合需要收集近迁移应用证据时调用"
"gh-03-c03-d831dd16-challenge_experiment","GH-03","从平均变化率到导数","从平均变化率到导数","3","导数符号和意义","experiment","visual","challenge_experiment","挑战实验","gh-03-c03-d831dd16","适合需要收集更高挑战度的操作、比较或边界情况证据时调用"
"gh-03-c03-d831dd16-spatial_or_2d_view","GH-03","从平均变化率到导数","从平均变化率到导数","3","导数符号和意义","experiment","visual","spatial_or_2d_view","空间/二维视角","gh-03-c03-d831dd16","适合需要补充空间视角、二维兜底或可视化理解证据时调用"
"gh-03-c03-d831dd16-teach_back_card","GH-03","从平均变化率到导数","从平均变化率到导数","3","导数符号和意义","practice","verbal","teach_back_card","讲给同伴听","gh-03-c03-d831dd16","适合需要收集口头化解释、同伴讲解或反例说明证据时调用"
"gh-04-c01-5f7cc11a-intuition_simulation","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","1","幂函数求导","experiment","manipulative","intuition_simulation","直觉操作实验","gh-04-c01-5f7cc11a","适合需要补充直觉操作证据、提升低交互参与或验证变量关系时调用"
"gh-04-c01-5f7cc11a-relationship_diagram","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","1","幂函数求导","lecture","relational","relationship_diagram","关系图谱","gh-04-c01-5f7cc11a","适合需要补充概念关系、表示转换或前后连接证据时调用"
"gh-04-c01-5f7cc11a-symbolic_bridge","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","1","幂函数求导","lecture","symbolic","symbolic_bridge","符号桥接","gh-04-c01-5f7cc11a","适合需要补充符号含义、公式语言或简答表达证据时调用"
"gh-04-c01-5f7cc11a-misconception_contrast","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","1","幂函数求导","game","relational","misconception_contrast","误解对比","gh-04-c01-5f7cc11a","适合需要暴露并对比典型误解、收集纠错解释证据时调用"
"gh-04-c01-5f7cc11a-error_repair_challenge","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","1","幂函数求导","game","applied","error_repair_challenge","纠错挑战","gh-04-c01-5f7cc11a","适合需要通过可重试挑战收集纠错过程证据时调用"
"gh-04-c01-5f7cc11a-micro_practice","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","1","幂函数求导","practice","assessment","micro_practice","微练习确认","gh-04-c01-5f7cc11a","适合需要快速确认掌握、继续学习前补充检查证据时调用"
"gh-04-c01-5f7cc11a-transfer_context","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","1","幂函数求导","practice","applied","transfer_context","迁移应用","gh-04-c01-5f7cc11a","适合需要收集近迁移应用证据时调用"
"gh-04-c01-5f7cc11a-challenge_experiment","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","1","幂函数求导","experiment","visual","challenge_experiment","挑战实验","gh-04-c01-5f7cc11a","适合需要收集更高挑战度的操作、比较或边界情况证据时调用"
"gh-04-c01-5f7cc11a-spatial_or_2d_view","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","1","幂函数求导","experiment","visual","spatial_or_2d_view","空间/二维视角","gh-04-c01-5f7cc11a","适合需要补充空间视角、二维兜底或可视化理解证据时调用"
"gh-04-c01-5f7cc11a-teach_back_card","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","1","幂函数求导","practice","verbal","teach_back_card","讲给同伴听","gh-04-c01-5f7cc11a","适合需要收集口头化解释、同伴讲解或反例说明证据时调用"
"gh-04-c02-c519d72e-intuition_simulation","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","2","和差积商规则","experiment","manipulative","intuition_simulation","直觉操作实验","gh-04-c02-c519d72e","适合需要补充直觉操作证据、提升低交互参与或验证变量关系时调用"
"gh-04-c02-c519d72e-relationship_diagram","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","2","和差积商规则","lecture","relational","relationship_diagram","关系图谱","gh-04-c02-c519d72e","适合需要补充概念关系、表示转换或前后连接证据时调用"
"gh-04-c02-c519d72e-symbolic_bridge","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","2","和差积商规则","lecture","symbolic","symbolic_bridge","符号桥接","gh-04-c02-c519d72e","适合需要补充符号含义、公式语言或简答表达证据时调用"
"gh-04-c02-c519d72e-misconception_contrast","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","2","和差积商规则","game","relational","misconception_contrast","误解对比","gh-04-c02-c519d72e","适合需要暴露并对比典型误解、收集纠错解释证据时调用"
"gh-04-c02-c519d72e-error_repair_challenge","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","2","和差积商规则","game","applied","error_repair_challenge","纠错挑战","gh-04-c02-c519d72e","适合需要通过可重试挑战收集纠错过程证据时调用"
"gh-04-c02-c519d72e-micro_practice","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","2","和差积商规则","practice","assessment","micro_practice","微练习确认","gh-04-c02-c519d72e","适合需要快速确认掌握、继续学习前补充检查证据时调用"
"gh-04-c02-c519d72e-transfer_context","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","2","和差积商规则","practice","applied","transfer_context","迁移应用","gh-04-c02-c519d72e","适合需要收集近迁移应用证据时调用"
"gh-04-c02-c519d72e-challenge_experiment","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","2","和差积商规则","experiment","visual","challenge_experiment","挑战实验","gh-04-c02-c519d72e","适合需要收集更高挑战度的操作、比较或边界情况证据时调用"
"gh-04-c02-c519d72e-spatial_or_2d_view","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","2","和差积商规则","experiment","visual","spatial_or_2d_view","空间/二维视角","gh-04-c02-c519d72e","适合需要补充空间视角、二维兜底或可视化理解证据时调用"
"gh-04-c02-c519d72e-teach_back_card","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","2","和差积商规则","practice","verbal","teach_back_card","讲给同伴听","gh-04-c02-c519d72e","适合需要收集口头化解释、同伴讲解或反例说明证据时调用"
"gh-04-c03-e65e4deb-intuition_simulation","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","3","链式法则","experiment","manipulative","intuition_simulation","直觉操作实验","gh-04-c03-e65e4deb","适合需要补充直觉操作证据、提升低交互参与或验证变量关系时调用"
