"id","ghId","ghTitle","chapterTopic","conceptIndex","concept","goal","misconception","conceptClusterId"
"gh-05-c04-562d8595","GH-05","导数应用：单调、极值与弯曲","导数应用：单调、极值与弯曲","4","实际最值建模","能把文字情境转成目标函数和限制范围","忘记检查端点或范围","gh-05-c04-562d8595"
"gh-06-c01-0e05fe6f","GH-06","积分直觉：面积、累积与原函数","积分直觉：面积、累积与原函数","1","小矩形逼近面积","能解释分割越细面积越稳定","把积分只看成几何面积公式","gh-06-c01-0e05fe6f"
"gh-06-c02-e9a24991","GH-06","积分直觉：面积、累积与原函数","积分直觉：面积、累积与原函数","2","定积分作为累积","能把速度-时间、流量-时间等情境解释成累积","把正负面积混在一起","gh-06-c02-e9a24991"
"gh-06-c03-9ddae805","GH-06","积分直觉：面积、累积与原函数","积分直觉：面积、累积与原函数","3","原函数和不定积分","能说明求原函数是在反向寻找导数来源","漏掉常数 C","gh-06-c03-9ddae805"
"gh-07-c01-c5ef7efd","GH-07","微积分基本定理与积分方法","微积分基本定理与积分方法","1","变上限积分","能解释累积函数的导数为什么回到被积函数","只背公式，不知道上限变化产生新增小面积","gh-07-c01-c5ef7efd"
"gh-07-c02-f2c18870","GH-07","微积分基本定理与积分方法","微积分基本定理与积分方法","2","牛顿-莱布尼茨公式","能用原函数计算定积分","把定积分和不定积分符号混用","gh-07-c02-f2c18870"
"gh-07-c03-788b0682","GH-07","微积分基本定理与积分方法","微积分基本定理与积分方法","3","换元法直觉","能识别内部变量替换让结构变简单","换元后忘记 dx 的变化","gh-07-c03-788b0682"
"gh-07-c04-f789227a","GH-07","微积分基本定理与积分方法","微积分基本定理与积分方法","4","分部积分直觉","能把乘积型累积拆成两部分","把公式当作无意义搬运","gh-07-c04-f789227a"
"gh-08-c01-7e238933","GH-08","多元函数、曲面与偏导数","多元函数、曲面与偏导数","1","多输入函数","能说出 z=f(x,y) 中两个输入共同决定一个输出","把多元函数当成两个互不相关的一元函数","gh-08-c01-7e238933"
"gh-08-c02-76fee6bf","GH-08","多元函数、曲面与偏导数","多元函数、曲面与偏导数","2","曲面与等高线","能在曲面和俯视等高线之间对应","把等高线当成普通函数图像","gh-08-c02-76fee6bf"
"gh-08-c03-ae40be2f","GH-08","多元函数、曲面与偏导数","多元函数、曲面与偏导数","3","偏导数","能解释固定一个变量、只看另一个方向","误以为偏导必须同时改变所有变量","gh-08-c03-ae40be2f"
"gh-09-c01-b9fcfc32","GH-09","梯度、方向导数与等高线","梯度、方向导数与等高线","1","梯度向量","能把偏导数组合成上升最快的方向","把梯度当作一个普通数","gh-09-c01-b9fcfc32"
"gh-09-c02-6f9c66e1","GH-09","梯度、方向导数与等高线","梯度、方向导数与等高线","2","方向导数","能比较沿不同方向走的高度变化","以为只要有方向就一定上升","gh-09-c02-6f9c66e1"
"gh-09-c03-bdec6f69","GH-09","梯度、方向导数与等高线","梯度、方向导数与等高线","3","梯度与等高线垂直","能用地形图解释垂直关系","把沿等高线走误认为高度变化最大","gh-09-c03-bdec6f69"
"gh-10-c01-49857159","GH-10","多元链式法则与 Jacobian","多元链式法则与 Jacobian","1","多元链式法则","能沿路径追踪变化贡献","把一元链式法则机械套用，忽略矩阵顺序","gh-10-c01-49857159"
"gh-10-c02-8c59bfb2","GH-10","多元链式法则与 Jacobian","多元链式法则与 Jacobian","2","向量值函数","能理解一个输入可以产生多个输出","只习惯一个输出的函数","gh-10-c02-8c59bfb2"
"gh-10-c03-378a2272","GH-10","多元链式法则与 Jacobian","多元链式法则与 Jacobian","3","Jacobian 表格","能说明行列分别对应输出和输入","不知道谁对谁求导","gh-10-c03-378a2272"
"gh-10-c04-504e58fd","GH-10","多元链式法则与 Jacobian","多元链式法则与 Jacobian","4","局部线性变形","能把 Jacobian 看成局部空间变形","把矩阵表格和几何变形割裂","gh-10-c04-504e58fd"
"gh-11-c01-d54bb7ae","GH-11","Taylor 近似、Hessian 与驻点判断","Taylor 近似、Hessian 与驻点判断","1","一阶 Taylor 近似","能用切线近似局部函数","把近似当成全局等于","gh-11-c01-d54bb7ae"
"gh-11-c02-27783e9b","GH-11","Taylor 近似、Hessian 与驻点判断","Taylor 近似、Hessian 与驻点判断","2","二阶 Taylor 近似","能说明二阶项描述弯曲","只记公式，不解释局部形状","gh-11-c02-27783e9b"
"gh-11-c03-771889bc","GH-11","Taylor 近似、Hessian 与驻点判断","Taylor 近似、Hessian 与驻点判断","3","Hessian 矩阵","能把二阶偏导整理成弯曲信息","把 Hessian 当成又一个陌生符号","gh-11-c03-771889bc"
"gh-11-c04-6e4ab418","GH-11","Taylor 近似、Hessian 与驻点判断","Taylor 近似、Hessian 与驻点判断","4","驻点类型判断","能区分局部最小、局部最大和鞍点","以为梯度为 0 就一定成功","gh-11-c04-6e4ab418"
"gh-12-c01-46f86273","GH-12","无约束优化与梯度下降","无约束优化与梯度下降","1","目标函数地形","能把最小化问题看成找低谷","把目标函数当成普通公式，不看地形","gh-12-c01-46f86273"
"gh-12-c02-a73c9dee","GH-12","无约束优化与梯度下降","无约束优化与梯度下降","2","负梯度方向","能解释为什么沿负梯度下降","把梯度方向和下降方向混淆","gh-12-c02-a73c9dee"
"gh-12-c03-596d236b","GH-12","无约束优化与梯度下降","无约束优化与梯度下降","3","步长和收敛","能判断步长过大/过小的后果","认为步长越大越快","gh-12-c03-596d236b"
"gh-12-c04-a74cb59c","GH-12","无约束优化与梯度下降","无约束优化与梯度下降","4","迭代路径与停止信号","能记录每一步的位置、函数值和变化幅度，并判断何时可以停止","以为只要一直迭代就一定越来越好","gh-12-c04-a74cb59c"
"gh-13-c01-c920454b","GH-13","约束优化、拉格朗日与凸性","约束优化、拉格朗日与凸性","1","可行区域","能区分目标函数和限制条件","只优化目标，不检查限制","gh-13-c01-c920454b"
"gh-13-c02-0194a42e","GH-13","约束优化、拉格朗日与凸性","约束优化、拉格朗日与凸性","2","拉格朗日乘子直觉","能用切线/等高线方向平衡解释乘子","把乘子只当成代数技巧","gh-13-c02-0194a42e"
"gh-13-c03-c8a4ae3a","GH-13","约束优化、拉格朗日与凸性","约束优化、拉格朗日与凸性","3","凸函数和凸集合","能解释为什么凸问题局部最优就是全局最优","把所有碗形地形都想成简单抛物线","gh-13-c03-c8a4ae3a"
"gh-13-c04-8248846c","GH-13","约束优化、拉格朗日与凸性","约束优化、拉格朗日与凸性","4","线性/二次规划入口","能识别线性目标、二次目标和线性约束的基本形态","一看到规划就跳到复杂算法","gh-13-c04-8248846c"
"gh-14-c01-7a5b7f31","GH-14","机器学习与深度学习中的高数闭环","机器学习与深度学习中的高数闭环","1","损失函数和参数","能把训练看成调参数使误差变小","把机器学习看成黑箱，不知道优化对象","gh-14-c01-7a5b7f31"
"gh-14-c02-fb73e369","GH-14","机器学习与深度学习中的高数闭环","机器学习与深度学习中的高数闭环","2","最小二乘梯度","能看出拟合直线和梯度计算的关系","把误差平方和当成孤立公式","gh-14-c02-fb73e369"
"gh-14-c03-4e065e06","GH-14","机器学习与深度学习中的高数闭环","机器学习与深度学习中的高数闭环","3","计算图与自动微分","能用节点和边追踪链式法则","把反向传播当成神秘算法","gh-14-c03-4e065e06"
"gh-14-c04-b167e550","GH-14","机器学习与深度学习中的高数闭环","机器学习与深度学习中的高数闭环","4","小批量梯度下降","能解释为什么用一部分数据估计梯度","认为近似梯度一定不可靠","gh-14-c04-b167e550"
"gh-14-c05-087f1fb9","GH-14","机器学习与深度学习中的高数闭环","机器学习与深度学习中的高数闭环","5","完整学习路线回看","能把函数-导数-梯度-优化-训练串成闭环","学完高数仍不知道各工具如何连接","gh-14-c05-087f1fb9"
